customer_id,gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married,country,state,city,zip_code,total_population,latitude,longitude,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,internet_service,phone_service,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,satisfaction_score,cltv,customer_status,churn_score,churn_label,churn_value,churn_category,churn_reason
0017-DINOC,Male,47,No,No,No,No,0,No,United States,California,Rancho Santa Fe,92091,1072,32.99356,-117.207121,No,Yes,Yes,No,No,Yes,Yes,No,No,Cable,Two Year,No,Credit card (automatic),45.2,0,2460.55,0,0,0,2460.55,54,Yes,No,No,10,Yes,None,No,0,4,5435,Stayed,54,No,0,Not Applicable,N/A
0017-IUDMW,Female,25,Yes,No,Yes,Yes,2,Yes,United States,California,Sunnyvale,94086,64010,37.378541,-122.020456,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),116.8,16.01,8456.75,0,0,1152.72,9609.47,72,Yes,Yes,Yes,59,Yes,None,Yes,2,3,6252,Stayed,52,No,0,Not Applicable,N/A
0018-NYROU,Female,58,No,No,Yes,No,0,Yes,United States,California,Antelope,95843,36432,38.715498,-121.363411,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,68.95,18.65,351.5,0,0,93.25,444.75,5,Yes,Yes,No,10,Yes,None,No,0,3,5536,Stayed,57,No,0,Not Applicable,N/A
0019-EFAEP,Female,32,No,No,No,No,0,No,United States,California,La Mesa,91942,24005,32.782501,-117.01611,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),101.3,2.25,7261.25,0,0,162,7423.25,72,Yes,Yes,Yes,16,Yes,Offer A,No,0,3,5513,Stayed,53,No,0,Not Applicable,N/A
0019-GFNTW,Female,39,No,No,No,No,0,No,United States,California,Los Olivos,93441,1317,34.70434,-120.02609,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,Two Year,No,Bank transfer (automatic),45.05,0,2560.1,0,0,0,2560.1,56,Yes,No,No,19,Yes,None,No,0,3,5795,Stayed,37,No,0,Not Applicable,N/A
0020-INWCK,Female,58,No,No,Yes,Yes,2,Yes,United States,California,Woodlake,93286,8870,36.464635,-119.094348,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),95.75,27.26,6849.4,0,0,1935.46,8784.86,71,Yes,Yes,Yes,12,Yes,Offer A,Yes,9,5,4865,Stayed,26,No,0,Not Applicable,N/A
0020-JDNXP,Female,52,No,No,Yes,Yes,1,Yes,United States,California,Point Reyes Station,94956,1885,38.060264,-122.830646,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Mailed check,61.25,0,1993.2,0,0,0,1993.2,34,Yes,No,No,20,Yes,None,No,0,4,3607,Stayed,37,No,0,Not Applicable,N/A
0021-IKXGC,Female,72,No,Yes,No,No,0,No,United States,California,San Marcos,92078,6760,33.119028,-117.166036,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,One Year,Yes,Electronic check,72.1,7.77,72.1,0,0,7.77,79.87,1,Yes,Yes,Yes,22,Yes,Offer E,No,0,4,4432,Joined,50,No,0,Not Applicable,N/A
0022-TCJCI,Male,79,No,Yes,No,No,0,No,United States,California,Daly City,94015,63337,37.680844,-122.48131,Yes,Yes,Yes,No,Yes,No,No,Yes,No,DSL,One Year,No,Credit card (automatic),62.7,10.67,2791.5,0,0,480.15,3271.65,45,Yes,Yes,No,17,Yes,None,No,0,1,2654,Churned,92,Yes,1,Dissatisfaction,Limited range of services
0023-HGHWL,Male,67,No,Yes,No,No,0,No,United States,California,Morgan Hill,95037,41707,37.161544,-121.649371,No,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Electronic check,25.1,0,25.1,0,0,0,25.1,1,Yes,No,No,9,Yes,None,No,0,3,5437,Churned,85,Yes,1,Competitor,Competitor made better offer
0023-UYUPN,Female,79,No,Yes,Yes,No,0,Yes,United States,California,Ahwahnee,93601,1968,37.375816,-119.739935,Yes,No,No,No,No,No,No,No,No,None,One Year,No,Electronic check,25.2,31.43,1306.3,0,0,1571.5,2877.8,50,No,Yes,Yes,0,No,None,No,0,3,4015,Stayed,61,No,0,Not Applicable,N/A
0023-XUOPT,Female,26,Yes,No,Yes,No,0,Yes,United States,California,Carnelian Bay,96140,1943,39.227434,-120.091806,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,94.1,43.56,1215.6,0,0,566.28,1781.88,13,Yes,Yes,Yes,52,Yes,None,Yes,1,1,2973,Churned,75,Yes,1,Other,Don't know
0027-KWYKW,Female,30,No,No,Yes,Yes,2,Yes,United States,California,Alpaugh,93201,1054,35.869626,-119.498771,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,83.75,34.91,1849.95,0,0,802.93,2652.88,23,Yes,Yes,Yes,30,Yes,Offer D,Yes,1,4,3585,Stayed,78,No,0,Not Applicable,N/A
0030-FNXPP,Female,22,Yes,No,No,No,0,No,United States,California,Keeler,93530,71,36.560498,-117.962461,Yes,No,No,No,No,No,No,No,No,None,Month-to-Month,No,Mailed check,19.85,3.12,57.2,0,0,9.36,66.56,3,No,Yes,No,0,No,None,No,0,4,5634,Joined,59,No,0,Not Applicable,N/A
0031-PVLZI,Female,34,No,No,Yes,No,0,Yes,United States,California,Korbel,95550,155,40.7666,-123.80458,Yes,No,No,No,No,No,No,No,No,None,Month-to-Month,No,Mailed check,20.35,12.43,76.35,0,0,49.72,126.07,4,No,Yes,No,0,No,Offer E,No,0,1,4133,Churned,81,Yes,1,Price,Long distance charges
0032-PGELS,Female,37,No,No,Yes,Yes,1,Yes,United States,California,Palomar Mountain,92060,234,33.309852,-116.823091,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),30.5,0,30.5,0,0,0,30.5,1,Yes,No,No,19,Yes,None,Yes,1,1,5171,Churned,74,Yes,1,Attitude,Attitude of service provider
0036-IHMOT,Female,37,No,No,Yes,Yes,3,Yes,United States,California,Parlier,93648,12587,36.622237,-119.521126,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),103.7,35.04,5656.75,0,20,1927.2,7603.95,55,Yes,Yes,No,57,No,None,Yes,10,3,5892,Stayed,65,No,0,Not Applicable,N/A
0040-HALCW,Male,42,No,No,Yes,Yes,3,Yes,United States,California,Modesto,95358,30668,37.612612,-121.108568,Yes,No,No,No,No,No,No,No,No,None,Two Year,No,Credit card (automatic),20.4,19.7,1090.6,0,0,1063.8,2154.4,54,No,Yes,No,0,No,None,Yes,3,4,6393,Stayed,60,No,0,Not Applicable,N/A
0042-JVWOJ,Male,64,No,No,No,No,0,No,United States,California,Glen Ellen,95442,4101,38.368744,-122.522642,Yes,No,No,No,No,No,No,No,No,None,One Year,Yes,Bank transfer (automatic),19.6,37.7,471.85,21.25,0,980.2,1430.8,26,No,Yes,No,0,No,Offer C,No,0,4,3722,Stayed,26,No,0,Not Applicable,N/A
0042-RLHYP,Female,47,No,No,Yes,Yes,3,Yes,United States,California,Eureka,95503,23570,40.737431,-124.108897,Yes,No,No,No,No,No,No,No,No,None,Two Year,No,Bank transfer (automatic),19.7,38.39,1396.9,0,0,2648.91,4045.81,69,No,Yes,No,0,No,None,Yes,5,5,4131,Stayed,76,No,0,Not Applicable,N/A
0048-LUMLS,Male,23,Yes,No,Yes,Yes,3,Yes,United States,California,Moss Beach,94038,3064,37.515556,-122.502311,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,One Year,No,Credit card (automatic),91.2,43.01,3247.55,0,0,1591.37,4838.92,37,Yes,Yes,No,51,Yes,Offer C,Yes,1,5,5263,Stayed,55,No,0,Not Applicable,N/A
0048-PIHNL,Female,48,No,No,Yes,No,0,Yes,United States,California,Los Angeles,90058,3642,34.001617,-118.222274,Yes,No,No,No,No,No,No,No,No,None,One Year,No,Bank transfer (automatic),20.45,49.58,900.9,0,0,2429.42,3330.32,49,No,Yes,No,0,No,Offer B,Yes,5,3,6061,Stayed,20,No,0,Not Applicable,N/A
0052-DCKON,Male,28,Yes,No,Yes,No,0,Yes,United States,California,Los Angeles,90063,55668,34.044271,-118.185237,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,No,Bank transfer (automatic),115.8,43.77,7942.15,0,0,2888.82,10830.97,66,Yes,Yes,Yes,41,Yes,None,Yes,9,3,5845,Stayed,42,No,0,Not Applicable,N/A
0052-YNYOT,Female,28,Yes,No,No,No,0,No,United States,California,Calexico,92231,27804,32.690654,-115.431225,Yes,No,No,No,No,No,No,No,No,None,One Year,No,Electronic check,20.55,23.12,1343.4,30.53,0,1549.04,2861.91,67,No,Yes,No,0,No,None,No,0,5,5462,Stayed,72,No,0,Not Applicable,N/A
0056-EPFBG,Male,33,No,No,Yes,Yes,1,Yes,United States,California,Redding,96003,41476,40.677649,-122.29467,No,Yes,Yes,No,Yes,Yes,No,No,No,Cable,Two Year,Yes,Credit card (automatic),39.4,0,825.4,0,0,0,825.4,20,Yes,No,No,22,Yes,None,Yes,4,3,3899,Stayed,29,No,0,Not Applicable,N/A
0057-QBUQH,Female,31,No,No,No,Yes,3,No,United States,California,San Martin,95046,5671,37.084697,-121.606417,Yes,No,No,No,No,No,No,No,No,None,Two Year,Yes,Electronic check,25.1,30.64,1070.15,0,0,1317.52,2387.67,43,No,Yes,Yes,0,No,None,No,0,4,4797,Stayed,59,No,0,Not Applicable,N/A
0058-EVZWM,Female,37,No,No,Yes,No,0,Yes,United States,California,Stockton,95209,30814,38.044523,-121.348048,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),89.8,5.08,4959.6,0,0,279.4,5239,55,Yes,Yes,Yes,9,Yes,Offer B,Yes,2,3,5875,Stayed,42,No,0,Not Applicable,N/A
0060-FUALY,Female,60,No,No,Yes,No,0,Yes,United States,California,Los Angeles,90003,58198,33.964131,-118.272783,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,94.75,16.39,5597.65,0,0,967.01,6564.66,59,Yes,Yes,Yes,14,Yes,Offer B,Yes,4,3,5238,Stayed,26,No,0,Not Applicable,N/A
0064-SUDOG,Female,48,No,No,Yes,Yes,3,Yes,United States,California,Huntington Park,90255,78114,33.97803,-118.217141,Yes,No,No,No,No,No,No,No,No,None,Two Year,No,Bank transfer (automatic),20.3,19.28,224.5,0,0,231.36,455.86,12,No,Yes,No,0,No,None,Yes,3,5,5190,Stayed,57,No,0,Not Applicable,N/A
0064-YIJGF,Male,60,No,No,Yes,Yes,3,Yes,United States,California,Yermo,92398,1195,35.013299,-116.834092,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),75.75,25.26,1929,0,0,682.02,2611.02,27,Yes,Yes,Yes,23,Yes,Offer C,Yes,7,3,4994,Stayed,46,No,0,Not Applicable,N/A
0067-DKWBL,Male,69,No,Yes,No,No,0,No,United States,California,San Diego,92129,47224,32.961064,-117.134917,Yes,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Electronic check,49.25,43.99,91.1,0,0,87.98,179.08,2,Yes,Yes,No,27,Yes,None,No,0,2,3475,Churned,95,Yes,1,Competitor,Competitor made better offer
0068-FIGTF,Female,20,Yes,No,No,No,0,No,United States,California,Fremont,94539,46917,37.516791,-121.899117,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Mailed check,78.2,48.91,2078.95,0,0,1320.57,3399.52,27,Yes,Yes,No,59,Yes,Offer C,No,0,3,2297,Stayed,54,No,0,Not Applicable,N/A
0071-NDAFP,Male,31,No,No,Yes,Yes,3,Yes,United States,California,Santa Rosa,95405,22250,38.439696,-122.668817,Yes,No,No,No,No,No,No,No,No,None,Two Year,No,Credit card (automatic),25.5,23.69,630.6,44.42,0,592.25,1178.43,25,No,Yes,Yes,0,No,None,Yes,1,3,5230,Stayed,65,No,0,Not Applicable,N/A
0074-HDKDG,Male,46,No,No,Yes,No,0,Yes,United States,California,San Jose,95126,27023,37.327069,-121.916819,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Cable,One Year,Yes,Bank transfer (automatic),61.6,6.45,1611,44.9,0,161.25,1727.35,25,Yes,Yes,No,19,Yes,None,Yes,5,3,3807,Stayed,66,No,0,Not Applicable,N/A
0076-LVEPS,Male,57,No,No,No,Yes,1,No,United States,California,Tujunga,91042,26753,34.296574,-118.244839,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,Month-to-Month,Yes,Mailed check,45,0,1242.45,12.26,0,0,1230.19,29,Yes,No,No,21,Yes,None,No,0,4,3290,Stayed,73,No,0,Not Applicable,N/A
0078-XZMHT,Male,19,Yes,No,Yes,No,0,Yes,United States,California,Visalia,93291,36718,36.391777,-119.372842,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),85.15,32.36,6316.2,0,0,2329.92,8646.12,72,Yes,Yes,Yes,52,Yes,None,Yes,5,3,6322,Stayed,76,No,0,Not Applicable,N/A
0080-EMYVY,Female,64,No,No,No,No,0,No,United States,California,Lodi,95240,45755,38.123544,-121.159078,Yes,Yes,No,Yes,No,No,No,No,No,Cable,One Year,No,Credit card (automatic),51.45,24.04,727.85,0,0,336.56,1064.41,14,Yes,Yes,No,12,Yes,None,No,0,3,4298,Stayed,57,No,0,Not Applicable,N/A
0080-OROZO,Female,38,No,No,No,No,0,No,United States,California,El Portal,95318,579,37.654551,-119.822984,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,99.25,36.42,3532,0,0,1274.7,4806.7,35,Yes,Yes,No,2,Yes,Offer C,No,0,3,3244,Stayed,36,No,0,Not Applicable,N/A
0082-LDZUE,Male,54,No,No,No,No,0,No,United States,California,Calistoga,94515,7384,38.629618,-122.593216,Yes,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Mailed check,44.3,42.95,44.3,0,0,42.95,87.25,1,Yes,Yes,No,9,Yes,Offer E,No,0,5,4427,Joined,57,No,0,Not Applicable,N/A
0082-OQIQY,Male,50,No,No,No,No,0,No,United States,California,Farmington,95230,596,37.956963,-120.863055,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,94.2,2.05,2607.6,0,20,59.45,2687.05,29,Yes,Yes,No,17,No,None,No,0,5,4561,Stayed,60,No,0,Not Applicable,N/A
0083-PIVIK,Male,25,Yes,No,No,No,0,No,United States,California,Tulelake,96134,2595,41.813521,-121.492666,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL,One Year,No,Electronic check,81.25,5.49,5567.55,0,40,351.36,5958.91,64,Yes,Yes,Yes,69,No,None,No,0,3,4761,Stayed,67,No,0,Not Applicable,N/A
0089-IIQKO,Female,35,No,No,Yes,Yes,3,Yes,United States,California,Coleville,96107,1332,38.42528,-119.475741,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),99.95,24.38,3767.4,0,0,950.82,4718.22,39,Yes,Yes,Yes,53,Yes,None,Yes,1,3,4447,Stayed,43,No,0,Not Applicable,N/A
0093-EXYQL,Female,72,No,Yes,No,No,0,No,United States,California,Ojai,93023,21633,34.581308,-118.931948,Yes,Yes,No,No,No,No,Yes,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,91.55,44.14,3673.6,0,0,1765.6,5439.2,40,Yes,Yes,No,23,Yes,None,No,0,3,5742,Stayed,59,No,0,Not Applicable,N/A
0093-XWZFY,Male,51,No,No,No,No,0,No,United States,California,Desert Hot Springs,92241,5529,33.832799,-116.250973,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),104.5,37.69,4036.85,0,0,1507.6,5544.45,40,Yes,Yes,Yes,15,Yes,None,No,0,1,2832,Churned,93,Yes,1,Competitor,Competitor had better devices
0094-OIFMO,Female,78,No,Yes,No,Yes,1,No,United States,California,North Hollywood,91605,57146,34.207295,-118.400022,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,95,11.59,1120.3,0,120,127.49,1367.79,11,Yes,Yes,No,29,No,Offer D,No,0,1,5980,Churned,85,Yes,1,Dissatisfaction,Product dissatisfaction
0096-BXERS,Female,30,No,No,Yes,No,0,Yes,United States,California,Inverness,94937,1004,38.099323,-122.945723,Yes,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,No,Electronic check,50.35,42.66,314.55,0,0,255.96,570.51,6,Yes,Yes,Yes,85,Yes,Offer E,Yes,10,3,3442,Stayed,74,No,0,Not Applicable,N/A
0096-FCPUF,Male,58,No,No,No,No,0,No,United States,California,Santa Rosa,95404,35057,38.526941,-122.709096,Yes,Yes,Yes,No,No,No,No,Yes,Yes,DSL,Month-to-Month,Yes,Mailed check,64.5,2.64,1888.45,0,0,79.2,1967.65,30,Yes,Yes,Yes,15,Yes,None,No,0,3,5039,Stayed,48,No,0,Not Applicable,N/A
0098-BOWSO,Male,26,Yes,No,No,No,0,No,United States,California,San Jose,95131,26389,37.387027,-121.897775,Yes,No,No,No,No,No,No,No,No,None,Month-to-Month,Yes,Electronic check,19.4,20.66,529.8,0,0,557.82,1087.62,27,No,Yes,No,0,No,None,No,0,5,3792,Stayed,39,No,0,Not Applicable,N/A
0100-DUVFC,Male,66,No,Yes,Yes,No,0,Yes,United States,California,Wilmington,90744,53323,33.782068,-118.262263,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,One Year,Yes,Electronic check,104.8,39.49,7308.95,6.11,0,2764.3,10067.14,70,Yes,Yes,Yes,28,Yes,None,Yes,3,5,5291,Stayed,57,No,0,Not Applicable,N/A
0103-CSITQ,Female,20,Yes,No,Yes,No,0,Yes,United States,California,Modesto,95357,13343,37.670526,-120.877572,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),109.4,8.01,6252.7,0,0,456.57,6709.27,57,Yes,Yes,Yes,73,Yes,Offer B,Yes,10,5,6026,Stayed,65,No,0,Not Applicable,N/A
0104-PPXDV,Male,61,No,No,Yes,No,0,Yes,United States,California,San Diego,92113,47431,32.697098,-117.116587,Yes,Yes,No,No,Yes,No,No,No,No,DSL,One Year,No,Credit card (automatic),50.3,18.37,2878.55,10.23,0,1065.46,3933.78,58,Yes,Yes,No,18,Yes,None,Yes,10,5,5232,Stayed,30,No,0,Not Applicable,N/A
0106-GHRQR,Male,24,Yes,No,No,No,0,No,United States,California,Rancho Palos Verdes,90275,41263,33.753146,-118.367459,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,DSL,Month-to-Month,Yes,Bank transfer (automatic),71.4,25.71,1212.1,0,0,411.36,1623.46,16,Yes,Yes,Yes,48,Yes,None,No,0,5,3360,Stayed,39,No,0,Not Applicable,N/A
0106-UGRDO,Female,55,No,No,Yes,No,0,Yes,United States,California,Kenwood,95452,1653,38.419525,-122.521585,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,116,38.52,8182.85,0,0,2657.88,10840.73,69,Yes,Yes,Yes,27,Yes,Offer A,Yes,3,3,4216,Stayed,37,No,0,Not Applicable,N/A
0107-WESLM,Male,32,No,No,No,No,0,No,United States,California,West Point,95255,2198,38.41935,-120.469545,Yes,No,No,No,No,No,No,No,No,None,Month-to-Month,Yes,Electronic check,19.85,31.77,19.85,0,0,31.77,51.62,1,No,Yes,No,0,No,Offer E,No,0,2,3874,Churned,66,Yes,1,Attitude,Attitude of support person
0107-YHINA,Male,59,No,No,No,No,0,No,United States,California,Los Angeles,90062,29299,34.003553,-118.308933,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,99.75,40.71,99.75,0,0,40.71,140.46,1,Yes,Yes,Yes,25,Yes,None,No,0,1,4214,Churned,93,Yes,1,Competitor,Competitor had better devices
0111-KLBQG,Male,71,No,Yes,Yes,Yes,1,Yes,United States,California,Morongo Valley,92256,3499,34.097863,-116.594561,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Mailed check,93.95,31.86,2861.45,0,0,1019.52,3880.97,32,Yes,Yes,No,23,Yes,Offer C,Yes,9,5,2844,Stayed,62,No,0,Not Applicable,N/A
0112-QAWRZ,Male,49,No,No,Yes,Yes,2,Yes,United States,California,Palo Verde,92266,291,33.3249,-114.758334,Yes,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),90.8,48.71,1442.2,0,0,779.36,2221.56,16,Yes,Yes,Yes,12,Yes,Offer D,Yes,8,3,5560,Stayed,66,No,0,Not Applicable,N/A
0112-QWPNC,Male,61,No,No,Yes,No,0,Yes,United States,California,Valyermo,93563,413,34.39583,-117.734568,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable,One Year,No,Electronic check,84.35,39.55,4059.35,0,0,1937.95,5997.3,49,Yes,Yes,Yes,10,Yes,Offer B,Yes,1,2,6452,Churned,73,Yes,1,Competitor,Competitor offered higher download speeds
0114-IGABW,Female,40,No,No,Yes,No,0,Yes,United States,California,Cambria,93428,6526,35.591387,-121.032256,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,No,Bank transfer (automatic),58.25,0,4145.9,0,0,0,4145.9,71,Yes,No,No,29,Yes,Offer A,Yes,2,5,5224,Stayed,76,No,0,Not Applicable,N/A
0114-PEGZZ,Female,39,No,No,No,No,0,No,United States,California,Round Mountain,96084,459,40.923558,-122.059933,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,No,Electronic check,107.55,49.69,3645.5,0,0,1639.77,5285.27,33,Yes,Yes,Yes,12,Yes,None,No,0,3,4800,Stayed,33,No,0,Not Applicable,N/A
0114-RSRRW,Female,21,Yes,No,Yes,No,0,Yes,United States,California,Klamath,95548,1215,41.572813,-124.035011,Yes,No,No,No,No,No,No,No,No,None,Month-to-Month,Yes,Bank transfer (automatic),19.95,49.6,187.75,0,0,496,683.75,10,No,Yes,No,0,No,Offer D,Yes,9,4,3831,Stayed,54,No,0,Not Applicable,N/A
0115-TFERT,Male,24,Yes,No,Yes,No,0,Yes,United States,California,Fresno,93650,3258,36.841655,-119.797113,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,111.2,36.26,2317.1,0,120,761.46,3198.56,21,Yes,Yes,Yes,59,No,None,Yes,1,3,4123,Churned,89,Yes,1,Attitude,Attitude of service provider
